id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mood
00DHieiDnak3hkU6Qa4yJQ,0.461,0.103,98.998,0.0275,0.476,0.897,0.587,234688,-11.968,0.223,Energetic
00ETaeHUQ6lops3oWU1Wrt,0.773,0.11,119.961,0.148,0.019,1.28E-06,0.681,199008,-5.749,0.429,Happy
00VetaoC8TaqvyumxJIXmx,0.147,0.105,72.447,0.0488,0.731,0.925,0.134,96000,-22.907,0.0345,Calm
00ZtJgQax06A96l8sMcmlB,0.0943,0.102,127.006,0.0362,0.929,0.918,0.346,129936,-13.632,0.109,Calm
02QoKc20zzH9A8mf25NfPq,0.292,0.0955,127.008,0.0423,0.966,0.927,0.616,125500,-16.837,0.0633,Calm
02WacdrRpm4zlP8H7X6bnQ,0.174,0.0855,112.175,0.0332,0.851,1.92E-05,0.608,260004,-8.796,0.193,Sad
03mMSLEJCPoGJwQhHpN5y0,0.869,0.046,122.017,0.0382,0.128,2.20E-05,0.653,197347,-3.725,0.697,Happy
03zDDHNSpm6ayF8zXbxwvz,0.0524,0.0867,149.793,0.0335,0.958,0.762,0.262,89600,-24.711,0.037,Calm
04JXK1GuqYWZHaRPpdIiv9,0.148,0.0961,143.578,0.0339,0.603,0.848,0.413,87500,-19.361,0.0574,Calm
04mlpyRplis2yvf18EwaeN,0.97,0.0994,94.952,0.212,0.03,0,0.512,200240,-3.886,0.427,Energetic
04MNyOQZDvLsW2gjAm9q2L,0.791,0.321,133.042,0.048,0.0392,0,0.654,199526,-6.243,0.603,Happy
058ylCuWsj0Q85LWviID7u,0.638,0.154,108.156,0.0295,0.434,0.954,0.492,325333,-9.095,0.357,Calm
05hc5PiLZ77HU7Gz8TawgK,0.156,0.106,79.857,0.0283,0.887,0.907,0.351,84000,-21.413,0.0397,Calm
05OCY605lOXP7koHNBMPc2,0.435,0.106,114.963,0.0391,0.369,0,0.666,153931,-8.089,0.6,Happy
05wIrZSwuaVWhcv5FfqeH0,0.869,0.0678,109.902,0.037,0.0116,0.173,0.596,238733,-11.97,0.944,Happy
06G5MnuMA3cLbNwjFs8zIS,0.138,0.207,71.631,0.0301,0.896,0.929,0.2,131116,-20.417,0.138,Calm
06qUEhhx6jKQmhj2qAkn4H,0.0587,0.0828,143.027,0.0762,0.95,0,0.561,222467,-17.819,0.342,Sad
06yt0JrpLQpsXDBRcn3e6Q,0.0234,0.124,66.172,0.0524,0.993,0.929,0.547,94737,-26.511,0.57,Calm
07EmFV0AOKNsbtNonzmMJj,0.073,0.0935,79.973,0.0411,0.968,0.755,0.438,222093,-21.944,0.0668,Calm
07FUh3cxCPNQFIIp8aSWCy,0.111,0.35,87.161,0.0356,0.902,0.000107,0.487,142200,-11.608,0.179,Sad
07htwTiSZVnQfdl38siCIn,0.417,0.104,121.13,0.0404,0.762,0.0214,0.67,297249,-12.553,0.0708,Sad
08EI81e55Lcqg2ZelJOXcG,0.914,0.195,99.011,0.0457,0.000106,0.00097,0.511,248413,-5.31,0.393,Energetic
08Hghm2hJpCxJux9YuhCG0,0.895,0.288,128.022,0.0683,0.00129,0.107,0.547,168750,-7.081,0.0353,Energetic
08Q4GyxnB8ak1ZwHnjwova,0.189,0.0932,116,0.0398,0.935,0.91,0.542,153103,-16.57,0.0755,Calm
08qO8i2K0Hxl0h8PIncyuH,0.384,0.156,127.938,0.0453,0.827,0.934,0.44,114195,-12.331,0.0912,Calm
0A4PZuepTcIQVvA5m7R0M1,0.784,0.0931,133.019,0.0313,0.00398,0.0852,0.602,263973,-7.976,0.918,Happy
0aaTrekfgJgLiH00lnPKm7,0.667,0.0748,122.994,0.0379,0.000211,0.899,0.64,284878,-10.19,0.288,Happy
0ACACkoHUwgfgY5CxVIL4N,0.565,0.0806,97.937,0.0345,0.194,0.000175,0.693,255066,-12.583,0.692,Happy
0aCsQvJk7VXZ6HCHfV5vtj,0.614,0.0961,85.027,0.0411,0.213,2.10E-06,0.485,183893,-5.701,0.221,Energetic
0AG2l0IboWNSwjUkMr2Aq7,0.155,0.0906,109.923,0.0344,0.835,0.000137,0.572,256688,-14.405,0.0949,Sad
0ancVQ9wEcHVd0RrGICTE4,0.664,0.133,104.56,0.0371,0.000389,0.000655,0.279,237027,-8.851,0.49,Energetic
0b6iQfSLnYGz5VCzwndLz9,0.147,0.0724,164.176,0.051,0.984,0.909,0.395,201951,-19.174,0.167,Calm
0BbA7S30mOQB94e4IBnqCt,0.684,0.685,161.167,0.0797,0.652,0,0.516,131160,-5.659,0.84,Happy
0BEkkhhqcCNx6VLMtshOiT,0.135,0.0974,118.9,0.0815,0.98,0.941,0.42,197800,-20.518,0.155,Calm
0bMcjygjhkTVB8T4r3xCde,0.101,0.102,119.709,0.0427,0.988,0.919,0.383,152456,-18.306,0.242,Calm
0BpKPyXhWsTaWkgXeOd1Sn,0.977,0.298,103.501,0.0603,0.00237,0,0.486,221093,-3.463,0.413,Energetic
0bRXwKfigvpKZUurwqAlEh,0.651,0.105,97.918,0.0324,0.292,0.00241,0.69,254560,-8.267,0.706,Happy
0BS1mTb6ZvZcVm217dyWFU,0.81,0.322,165.269,0.0439,0.0164,0.107,0.396,314747,-4.242,0.252,Energetic
0BvlCuNiWLE78NiZCiUxM7,0.88,0.445,155.004,0.0739,0.00797,0,0.336,208353,-5.675,0.485,Energetic
0bXpmJyHHYPk6QBFj25bYF,0.778,0.128,100.363,0.027,0.459,0.925,0.617,127920,-8.871,0.152,Energetic
0C8rPEfM8lZA05al27k0Pq,0.186,0.125,76.264,0.0337,0.887,0.898,0.149,94648,-25.13,0.0803,Calm
