,danceability,energy,loudness,valence,acousticness,instrumentalness,tempo,kmeans
0,0.466,0.389,-12.825,0.7490000000000001,0.631,0.843,92.631,0
1,0.5539999999999999,0.186,-15.845999999999998,0.2,0.909,0.00144,81.181,0
2,0.498,0.5820000000000001,-8.961,0.866,0.412,0.0,119.809,1
3,0.772,0.297,-14.679,0.8220000000000001,0.8540000000000001,7.59e-06,119.987,0
4,0.57,0.0636,-18.548,0.282,0.936,0.0,101.517,0
5,0.529,0.115,-16.284000000000002,0.3389999999999999,0.928,0.0033299999999999,101.501,0
6,0.643,0.491,-9.312,0.753,0.642,0.00972,126.399,0
7,0.4579999999999999,0.659,-8.97,0.87,0.408,0.0,144.75799999999998,1
8,0.647,0.513,-12.372,0.955,0.758,8.64e-06,131.641,1
9,0.526,0.633,-7.119,0.953,0.1989999999999999,1.24e-06,156.405,1
10,0.589,0.643,-8.118,0.7809999999999999,0.826,3.6200000000000006e-05,84.30799999999999,0
11,0.599,0.775,-4.566,0.89,0.7090000000000001,0.0,148.507,1
12,0.485,0.182,-18.083,0.357,0.852,0.0,110.608,0
13,0.506,0.176,-13.962,0.492,0.802,3.93e-06,76.273,0
14,0.654,0.452,-9.709,0.691,0.835,2.89e-05,106.662,0
15,0.65,0.352,-10.304,0.888,0.7979999999999999,4.1e-06,64.596,0
16,0.3379999999999999,0.551,-5.995,0.66,0.805,0.0,108.045,0
17,0.787,0.359,-12.824000000000002,0.933,0.785,6.03e-05,125.216,0
18,0.795,0.4,-13.01,0.968,0.682,0.0,122.174,1
19,0.57,0.529,-10.769,0.934,0.377,0.00509,123.273,1
20,0.4539999999999999,0.271,-11.658,0.402,0.797,0.0,110.89,0
21,0.3389999999999999,0.406,-8.955,0.619,0.865,1.1e-05,109.783,0
22,0.29,0.408,-9.607,0.542,0.662,0.0,102.229,0
23,0.408,0.213,-14.843,0.643,0.8690000000000001,0.0,94.608,0
24,0.492,0.634,-13.247,0.949,0.8420000000000001,0.923,156.10399999999998,0
25,0.54,0.53,-10.583,0.8959999999999999,0.614,0.0,143.453,1
26,0.675,0.604,-9.334,0.8079999999999999,0.836,0.0016699999999999,133.412,0
